자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.08.31.00,10,11,13,16,20,12,21,13,11,7,17,19,12,12,25,15,19,14,16,20,24,30,29,29,12
2021.08.30.00,4,4,9,7,15,21,28,26,11,5,10,23,11,17,30,24,18,12,23,22,29,8,36,12,11
2021.08.29.00,9,5,9,13,18,26,23,19,8,6,18,33,16,11,23,30,24,15,36,22,34,21,39,26,9
2021.08.28.00,6,9,11,18,25,20,20,20,13,12,20,35,21,20,18,24,22,28,46,22,35,23,49,24,6
2021.08.27.00,5,9,16,19,30,18,24,15,7,8,12,30,12,22,14,29,36,11,38,27,39,17,57,36,10
2021.08.26.00,6,13,8,13,23,15,25,17,9,4,10,38,21,26,14,21,20,9,46,22,47,26,49,32,19
2021.08.25.00,8,5,12,17,25,12,17,19,13,12,14,43,19,31,31,29,35,14,47,29,50,33,66,36,21
2021.08.24.00,11,5,9,9,21,12,15,12,11,4,17,17,12,24,19,19,13,8,25,20,24,19,48,24,18
2021.08.23.00,5,9,10,13,15,13,18,13,6,9,9,21,8,20,23,17,17,11,18,20,19,23,36,21,5
2021.08.22.00,4,5,16,8,22,17,24,23,18,7,13,32,23,30,15,14,22,15,26,16,29,21,33,28,13
2021.08.21.00,10,7,16,16,15,13,36,17,8,3,11,30,27,30,26,31,14,5,25,23,21,25,51,28,16
2021.08.20.00,6,5,8,20,17,28,18,21,12,8,11,35,24,25,18,36,20,8,24,15,32,21,55,36,24
2021.08.19.00,4,19,16,15,18,14,31,24,20,6,16,35,23,31,17,14,26,8,19,25,25,20,52,30,20
2021.08.18.00,9,17,17,10,15,9,16,9,5,14,9,30,14,33,32,21,11,17,27,20,22,27,48,32,18
2021.08.17.00,4,8,9,9,14,13,12,15,9,9,11,13,10,27,12,15,19,3,20,15,27,15,31,16,10
2021.08.16.00,6,7,11,10,8,9,12,18,7,5,12,15,22,23,15,17,9,13,16,24,17,14,31,24,7
2021.08.15.00,2,7,12,9,31,19,18,17,11,4,14,25,18,22,10,23,13,11,28,22,40,22,52,29,8
2021.08.14.00,10,20,15,8,19,17,18,16,11,9,16,23,15,34,14,18,26,13,27,16,35,24,40,32,18
2021.08.13.00,13,8,15,17,10,13,22,26,9,10,18,23,15,34,22,16,22,14,34,22,40,17,38,33,13
2021.08.12.00,8,4,24,15,31,16,14,15,11,12,16,15,19,26,13,20,15,21,36,25,57,18,33,27,15
2021.08.11.00,13,14,27,8,22,22,22,21,16,16,14,17,27,34,22,35,24,11,26,33,47,44,54,48,20
2021.08.10.00,9,6,12,7,9,6,12,15,12,12,5,17,13,18,17,14,10,7,12,11,19,17,28,40,15
2021.08.09.00,10,4,10,11,9,11,12,27,12,4,9,16,7,10,16,22,29,9,27,22,23,19,30,36,12
2021.08.08.00,8,14,7,15,7,10,12,14,5,8,15,14,23,31,15,17,18,13,29,23,39,18,33,31,12
2021.08.07.00,3,11,19,3,11,12,14,17,14,8,12,12,25,22,20,17,34,13,18,32,34,23,41,36,22
2021.08.06.00,7,7,22,7,19,17,7,8,18,6,12,21,17,24,22,16,19,9,31,21,28,19,39,32,12
2021.08.05.00,6,7,28,10,9,10,9,12,15,7,18,22,15,18,14,15,20,9,29,31,40,25,21,26,14
2021.08.04.00,11,12,25,17,15,11,2,13,9,9,9,9,21,26,23,23,22,9,19,16,43,21,41,32,21
2021.08.03.00,5,8,11,5,11,5,2,15,4,7,11,11,7,12,23,13,14,10,20,11,17,15,22,14,23
2021.08.02.00,1,5,15,10,12,5,10,18,8,2,12,13,14,9,12,19,9,15,23,25,33,16,30,25,4
2021.08.01.00,9,15,16,8,12,6,10,14,14,8,21,23,11,21,9,21,19,19,27,22,43,25,30,25,19
