자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2022.04.30.00,74,66,117,180,211,204,245,271,178,167,289,242,192,252,276,475,238,130,228,260,273,319,378,424,311
2022.04.29.00,101,121,175,215,251,224,276,320,231,211,367,383,219,299,349,373,273,201,261,255,407,299,472,484,412
2022.04.28.00,99,119,153,233,301,290,326,412,239,236,474,396,248,351,401,467,347,189,391,373,458,401,486,596,465
2022.04.27.00,143,115,249,268,377,319,402,483,282,315,561,622,303,417,487,621,476,244,488,389,573,557,666,761,493
2022.04.26.00,178,175,314,429,450,468,530,571,330,398,790,488,395,586,501,735,558,329,559,530,668,495,641,893,665
2022.04.25.00,55,39,83,110,157,168,149,188,108,138,247,316,136,178,236,322,141,75,161,155,222,239,314,286,250
2022.04.24.00,107,124,232,286,340,301,358,448,272,278,549,432,303,384,500,564,517,227,411,385,560,493,559,706,538
2022.04.23.00,137,159,275,371,437,361,427,468,272,322,581,596,378,499,586,735,529,250,476,508,583,480,639,804,532
2022.04.22.00,170,166,278,353,453,445,456,542,343,415,708,499,411,579,590,790,533,269,505,517,647,535,660,801,587
2022.04.21.00,183,159,315,436,542,462,543,630,368,420,739,636,481,638,711,913,581,350,603,602,822,603,767,915,669
2022.04.20.00,245,182,375,511,576,549,667,817,381,524,808,932,580,694,831,1021,825,442,805,779,924,755,902,1142,781
2022.04.19.00,245,265,455,664,722,663,761,928,661,714,1304,813,615,889,897,1292,851,578,887,836,1073,773,1090,1476,1086
2022.04.18.00,76,43,126,153,219,246,231,252,128,225,389,450,220,302,360,532,223,121,271,284,330,489,400,559,333
2022.04.17.00,166,137,318,390,540,481,532,620,360,458,789,768,534,554,740,875,581,334,556,602,752,548,740,924,729
2022.04.16.00,210,170,329,515,644,637,623,668,473,503,970,918,519,684,866,1231,773,397,716,684,854,706,956,1069,864
2022.04.15.00,261,228,429,609,674,689,767,872,567,700,1072,884,618,762,1050,1198,838,504,917,911,1044,828,1108,1288,1178
2022.04.14.00,296,253,503,791,875,795,883,1075,702,705,1251,1255,732,944,1197,1457,1048,539,1118,1002,1220,989,1193,1588,902
2022.04.13.00,387,327,616,868,1272,1009,1120,1407,824,980,1523,1795,872,1257,1596,1979,1389,778,1357,1320,1638,1353,1603,2085,1436
2022.04.12.00,529,486,826,1226,1144,1395,1549,1720,1164,1273,2146,1276,1130,1452,1663,2561,1701,993,1774,1606,1992,1358,1993,2471,1828
2022.04.11.00,156,128,202,323,530,486,399,489,305,386,749,983,462,506,747,954,484,265,521,617,625,738,800,856,801
2022.04.10.00,358,302,562,700,960,933,1026,1267,846,914,1368,1343,920,1130,1469,1981,1202,634,1186,1181,1502,1191,1381,1906,1217
2022.04.09.00,423,335,613,847,994,1047,1205,1332,908,998,1793,1463,1018,1215,1478,1797,1470,773,1294,1270,1634,1238,1468,1959,1634
2022.04.08.00,389,376,742,946,1351,1145,1233,1508,1058,1187,1858,1635,1098,1329,1612,2071,1535,785,1474,1462,1809,1591,1755,2440,1436
2022.04.07.00,510,479,749,1091,1381,1343,1411,1793,1037,1074,2001,1861,1209,1431,1857,2261,1793,895,1818,1569,2112,1427,1967,2457,1736
2022.04.06.00,642,622,1044,1241,1882,1750,1822,2177,1430,1572,2505,2662,1617,1828,2377,3082,2237,1364,2317,2107,2503,2070,2619,3127,2406
2022.04.05.00,582,645,1188,1593,1470,1870,1874,2349,1837,1576,2945,1756,1571,1923,2047,3255,2179,1396,2055,1820,2584,1861,2508,3441,2519
2022.04.04.00,233,170,322,465,1248,654,679,754,467,670,1084,1416,611,689,991,1221,709,339,804,820,1229,1114,1119,1315,751
2022.04.03.00,525,502,813,1193,1258,1326,1532,1943,1254,1376,2232,1854,1190,1480,1982,2714,1994,1004,1937,1739,2057,1206,2075,2788,1952
2022.04.02.00,593,553,946,1373,1430,1592,1910,1973,1433,1522,2695,2402,1465,1691,2109,2725,2010,1108,1884,1968,2340,1771,2468,3038,2613
2022.04.01.00,676,583,882,1389,1753,1762,1817,2195,1478,1503,2813,2180,1634,1896,2459,2974,2332,1222,2038,1938,2577,2105,2619,3076,2451
2022.03.31.00,731,625,1142,1635,2169,2007,2247,2366,1588,2006,3299,2810,1851,2075,2504,3279,2397,1398,2597,2245,2854,2616,2707,3528,3692
2022.03.30.00,1045,919,1504,1990,2534,2442,3033,3253,2184,2577,4484,4034,2229,2932,3873,4786,3812,1847,4122,3283,4679,3839,3872,4479,3084
2022.03.29.00,940,957,1481,2233,2444,2718,2837,3028,2180,1799,3579,2557,2281,2498,2611,3941,2595,1894,2072,2290,2821,1660,3524,4913,2996
2022.03.28.00,397,301,739,694,1154,975,1060,1083,751,1336,2179,1940,1294,1022,1708,1725,963,553,1193,1239,1431,1996,2517,2013,2297
2022.03.27.00,818,674,932,1930,2106,1957,2669,3063,1674,1423,3806,2366,1487,2135,2591,3623,2672,1468,2567,2437,2961,1749,2304,3723,2900
