자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.09.30.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
2020.09.29.00,0,0,2,0,1,5,0,4,1,6,0,1,0,1,0,0,0,0,1,2,2,0,0,0,0
2020.09.28.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1
2020.09.27.00,0,2,4,0,1,1,1,2,0,8,1,1,1,0,0,2,2,0,3,4,6,0,0,2,2
2020.09.26.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,0,0
2020.09.25.00,2,0,1,0,1,2,1,4,0,16,1,3,0,0,1,1,6,1,4,4,7,5,1,2,1
2020.09.24.00,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,3,1,2,2,0
2020.09.23.00,2,0,0,0,0,0,1,3,0,8,1,0,0,0,0,6,3,1,2,3,4,0,1,2,1
2020.09.22.00,0,0,0,1,2,0,1,0,1,1,1,3,0,5,3,5,1,2,2,4,5,1,0,1,0
2020.09.21.00,0,0,0,2,0,0,1,0,0,0,2,0,2,1,0,0,2,1,1,3,2,1,2,0,0
2020.09.20.00,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,2,1,4,3,0
2020.09.19.00,0,0,0,2,0,0,1,2,0,0,1,2,0,0,2,2,2,1,1,0,4,3,5,2,0
2020.09.18.00,0,0,0,0,0,0,1,1,0,2,4,1,2,3,3,3,0,0,1,1,4,2,3,5,0
2020.09.17.00,0,0,0,1,3,4,3,1,4,2,2,4,3,1,4,4,4,0,5,6,6,2,8,5,2
2020.09.16.00,1,0,2,0,0,2,1,2,0,0,6,1,3,1,3,3,1,0,2,4,2,3,1,6,0
2020.09.15.00,1,0,0,1,0,1,0,1,3,1,3,1,1,1,0,1,1,0,1,1,2,2,7,3,1
2020.09.14.00,0,0,0,0,0,0,1,2,1,2,4,2,0,2,0,2,1,1,2,0,4,2,4,6,1
2020.09.13.00,1,0,0,1,0,0,1,3,2,3,0,1,1,0,0,0,0,1,3,1,3,0,3,4,1
2020.09.12.00,2,0,1,0,0,0,0,0,0,1,3,3,0,0,1,1,1,0,0,0,11,2,5,5,1
2020.09.11.00,3,1,1,2,2,3,1,1,3,1,2,4,4,0,1,6,1,1,2,2,6,3,1,4,1
2020.09.10.00,7,0,1,0,0,0,0,0,1,3,3,4,1,0,0,1,0,1,0,3,3,1,1,2,2
2020.09.09.00,0,0,0,1,4,3,0,2,1,1,1,5,2,1,1,2,1,1,0,3,7,1,2,2,2
2020.09.08.00,2,0,1,2,2,1,4,5,2,4,3,4,3,3,1,5,3,1,7,4,5,4,2,6,1
2020.09.07.00,0,0,0,0,0,1,0,2,1,1,5,6,1,0,2,1,0,2,2,5,7,0,1,2,2
2020.09.06.00,0,0,0,1,2,0,5,4,2,1,3,2,2,2,3,3,0,1,3,1,4,1,3,6,5
2020.09.05.00,0,1,2,5,4,1,3,1,0,2,2,4,3,4,0,1,0,1,1,0,2,2,5,3,3
2020.09.04.00,0,0,0,2,4,1,5,2,0,2,3,1,1,1,1,0,0,0,0,0,5,5,4,0,3
2020.09.03.00,0,2,2,1,2,1,2,2,2,1,5,3,0,2,1,4,1,0,4,2,10,2,4,2,7
2020.09.02.00,2,0,1,2,4,5,6,4,6,3,4,7,3,1,2,5,0,1,3,0,6,4,9,1,4
2020.09.01.00,2,0,2,2,0,1,6,6,7,5,11,3,1,3,6,7,0,1,0,4,10,5,12,3,2
