자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.10.31.00,0,1,0,2,1,3,1,3,0,0,1,2,0,1,3,2,2,0,2,0,4,2,8,1,1
2020.10.30.00,0,0,0,2,2,0,0,0,3,3,1,0,0,3,2,3,0,0,0,2,3,4,11,8,1
2020.10.29.00,0,1,1,0,0,0,1,0,0,1,4,1,0,0,1,1,0,1,0,0,3,3,7,5,0
2020.10.28.00,1,0,0,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,2,8,4,1
2020.10.27.00,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,4,4,1
2020.10.26.00,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,2,1,3,0
2020.10.25.00,0,0,0,0,0,2,0,1,0,0,2,0,1,2,2,2,1,0,1,1,2,2,2,2,0
2020.10.24.00,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,3,0,4,2,0,1,3,1,0
2020.10.23.00,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,2,2,3,2,3,1
2020.10.22.00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,7,0,4,0,1
2020.10.21.00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,3,2,1
2020.10.20.00,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0
2020.10.19.00,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,0,0
2020.10.18.00,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,6,0,2,3,1
2020.10.17.00,2,0,0,0,0,0,1,3,1,0,0,1,0,1,0,1,1,0,0,0,2,0,0,2,2
2020.10.16.00,0,0,1,0,0,1,1,2,0,1,1,1,0,0,0,0,1,0,0,1,2,2,0,3,2
2020.10.15.00,0,3,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,6,1,1,0,1
2020.10.14.00,1,1,0,0,0,3,3,1,0,0,0,1,1,2,1,0,0,0,0,2,4,0,3,1,0
2020.10.13.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,1,3,0,1,0,0
2020.10.12.00,0,0,4,0,0,2,1,0,0,1,4,0,0,2,0,1,2,0,1,1,5,1,1,2,2
2020.10.11.00,1,1,1,0,0,0,0,0,3,1,2,0,0,3,0,3,0,0,1,0,0,0,0,3,1
2020.10.10.00,0,0,1,0,1,0,1,1,1,5,1,0,0,1,0,0,0,0,2,1,0,0,0,3,0
2020.10.09.00,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2,3,0,0
2020.10.08.00,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,1,1
2020.10.07.00,0,0,1,1,1,6,1,0,2,4,3,0,4,1,0,0,0,0,1,0,5,2,2,1,0
2020.10.06.00,0,0,1,0,1,1,1,0,1,0,2,0,0,0,0,1,2,1,1,1,2,1,0,0,0
2020.10.05.00,0,0,0,0,1,2,0,0,3,1,1,0,0,0,0,0,1,0,0,2,4,0,1,0,2
2020.10.04.00,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
2020.10.03.00,0,0,0,0,0,1,1,0,1,1,3,1,0,1,0,0,1,0,0,2,1,1,0,0,0
2020.10.02.00,1,0,0,2,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,3,3,0,1,0,0
2020.10.01.00,0,0,1,4,1,3,1,0,0,0,0,0,1,1,0,0,2,2,1,2,6,0,1,2,1
