자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.11.30.00,1,2,4,1,2,3,5,4,8,4,13,8,7,5,11,15,3,6,5,3,7,11,12,5,2
2020.11.29.00,1,3,2,2,5,5,8,7,2,5,13,4,8,7,10,14,7,2,4,9,3,8,6,6,5
2020.11.28.00,4,0,7,1,1,5,11,3,1,3,6,5,12,7,17,26,5,3,5,4,10,13,8,10,3
2020.11.27.00,2,2,6,6,1,5,11,4,1,3,11,2,1,1,14,56,7,4,5,9,8,12,5,10,2
2020.11.26.00,1,0,4,7,2,4,7,7,5,5,16,4,2,5,12,59,5,1,3,5,1,8,9,16,5
2020.11.25.00,1,7,7,2,4,1,5,6,4,2,5,4,7,10,6,9,0,1,3,7,4,20,14,6,4
2020.11.24.00,1,3,10,4,3,4,6,2,0,5,7,1,2,7,2,7,4,1,4,4,3,26,16,5,5
2020.11.23.00,3,0,2,1,2,0,5,3,1,1,2,9,6,14,3,4,4,0,3,8,2,15,4,9,4
2020.11.22.00,3,0,1,4,0,8,3,5,2,0,4,7,8,6,6,2,1,0,2,9,3,13,9,15,6
2020.11.21.00,2,1,4,3,3,7,1,4,1,4,4,4,12,6,6,5,5,1,9,19,4,16,12,9,4
2020.11.20.00,3,5,6,2,2,12,3,8,3,8,7,3,4,3,3,7,2,0,5,6,1,18,4,11,2
2020.11.19.00,1,1,1,5,1,2,0,7,1,11,9,4,5,4,1,3,1,1,7,7,1,9,6,8,6
2020.11.18.00,1,2,1,6,2,4,2,7,1,6,3,3,0,2,2,12,3,0,3,7,0,8,4,6,1
2020.11.17.00,2,1,0,3,1,4,1,5,1,7,4,2,5,6,4,4,6,1,2,2,1,10,0,10,3
2020.11.16.00,0,0,0,3,0,1,3,6,2,4,4,3,1,1,3,9,3,0,2,3,1,3,2,12,0
2020.11.15.00,2,3,1,1,0,2,3,6,0,1,11,2,6,2,1,9,4,0,0,2,0,4,2,12,5
2020.11.14.00,0,4,3,0,1,17,1,4,2,0,5,3,2,1,0,9,1,0,1,4,2,2,2,2,0
2020.11.13.00,0,1,1,2,1,11,4,2,0,3,6,4,1,3,1,7,1,2,1,1,2,4,3,4,1
2020.11.12.00,0,4,4,2,0,7,0,3,0,4,3,0,2,2,0,2,0,1,1,0,1,1,5,4,1
2020.11.11.00,0,1,2,0,1,1,1,1,0,0,1,1,1,2,1,5,0,0,0,0,0,4,1,4,1
2020.11.10.00,0,0,0,0,1,2,1,0,0,3,0,2,0,0,0,7,0,0,0,1,2,6,2,2,2
2020.11.09.00,0,0,7,5,0,2,0,0,0,1,0,2,3,1,2,4,0,0,1,3,0,5,1,4,1
2020.11.08.00,0,0,1,8,0,5,0,3,2,0,0,1,9,0,0,4,0,1,6,2,0,1,3,2,3
2020.11.07.00,0,2,0,6,2,2,0,3,0,1,0,2,3,1,0,3,0,0,0,1,3,3,3,0,0
2020.11.06.00,0,0,1,0,0,4,0,3,0,1,1,4,1,0,3,1,0,0,3,0,5,0,3,8,0
2020.11.05.00,0,0,1,1,3,2,1,1,0,0,0,3,5,0,1,2,0,0,2,3,1,4,2,9,1
2020.11.04.00,1,0,1,4,0,4,0,1,0,0,1,2,7,0,0,2,1,0,2,1,1,1,2,6,1
2020.11.03.00,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,2,1,1,2,3,0
2020.11.02.00,0,0,2,0,0,2,0,2,0,2,1,0,0,1,0,3,0,0,0,0,0,2,2,5,1
2020.11.01.00,0,0,1,1,1,0,0,0,0,0,1,3,0,1,0,1,2,0,1,2,2,5,14,9,0
