"시점",서울교통공사,서울교통공사,서울교통공사,서울교통공사,서울교통공사,서울교통공사,서울교통공사,서울교통공사,서울교통공사,서울시메트로9호선,서울시메트로9호선,서울시메트로9호선,서울시메트로9호선,우이신설도시철도,혼잡도평균,서울메트로,서울메트로,서울메트로,서울메트로,서울메트로,도시철도공사,도시철도공사,도시철도공사,도시철도공사,도시철도공사
"시점",평균,1호선,2호선,3호선,4호선,5호선,6호선,7호선,8호선,소계,1단계,2단계,3단계,소계,소계,평균,1호선,2호선,3호선,4호선,평균,5호선,6호선,7호선,8호선
"2005",-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,175,135,225,142,196,167,162,169,179,158
"2007",-,-,-,-,-,-,-,-,-,-,-,-,-,-,173,171,129,221,137,189,177,176,175,179,176
"2009",-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,156,122,202,122,172,175,168,177,179,176
"2011",-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,167,144,196,149,180,161,170,143,182,147
"2013",-,-,-,-,-,-,-,-,-,115(196),-,-,-,-,158,166,144,202,147,169,149,154,130,172,139
"2015",-,-,-,-,-,-,-,-,-,114(205),-,-,-,-,146,152,106,192,134,176,140,149,121,165,123
"2017",135,105,170,140,160,110,111,156,130,91(175),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2019",134,106,173,144,162,107,106,146,131,-,87(145),20.7(58.3),7.5(14.5),161,-,-,-,-,-,-,-,-,-,-,-
"2021",127,84,149,141,151,132,96,127,134,-,75(135),-,-,131,-,-,-,-,-,-,-,-,-,-
