자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.04.30.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.29.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.28.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
2020.04.27.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.26.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.25.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.24.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.23.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.22.10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020.04.21.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.20.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020.04.19.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020.04.18.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020.04.17.10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020.04.16.10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.15.10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2020.04.14.10,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.13.10,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2020.04.12.10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2020.04.11.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
2020.04.10.10,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020.04.09.10,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,2,2,0,0
2020.04.08.10,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0
2020.04.07.10,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0
2020.04.06.10,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
2020.04.05.10,0,0,1,0,0,2,1,1,0,0,0,2,2,1,0,1,0,0,1,0,2,0,2,3,0
2020.04.04.10,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,3,0,2,5,4,1
2020.04.03.10,1,0,2,1,0,0,1,0,0,0,1,2,0,1,1,0,1,0,0,0,3,2,2,0,1
2020.04.02.10,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,1,0
2020.04.01.10,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,6,1,3,2,0
2020.03.31.10,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,1,1
2020.03.30.10,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,4,0,2,3,1,4,1,0
2020.03.29.10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,1,4,5,1,0
2020.03.28.10,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,2,1,0
2020.03.27.00,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,4,2,1
2020.03.26.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,4,0,0
2020.03.25.00,1,0,1,0,0,1,2,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,1,0,0
2020.03.24.00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2020.03.23.00,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
2020.03.22.00,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0
2020.03.21.00,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,1,1,0,1,2,1,2,0,0,2
2020.03.20.00,0,0,1,1,0,0,0,0,0,0,2,0,0,3,1,1,0,0,2,2,1,0,1,2,0
2020.03.19.00,0,0,1,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,2,0,0,2,0,0
2020.03.18.00,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
2020.03.17.10,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,1,2,0,0,0,2,0,0,0,0
2020.03.16.10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0
2020.03.15.10,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0
2020.03.14.10,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0
2020.03.13.10,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,0
2020.03.12.10,0,0,0,0,0,3,1,2,0,0,0,2,2,1,0,3,2,0,0,0,0,0,0,1,0
2020.03.11.10,0,0,0,0,0,4,0,0,0,0,2,2,0,4,7,4,5,1,5,3,8,0,0,1,0
2020.03.10.10,0,1,0,0,0,0,0,0,0,0,1,4,0,0,2,3,8,1,0,1,0,0,0,0,1
