자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.07.31.00,5,7,9,14,8,16,10,14,12,9,14,21,12,17,21,9,32,12,25,29,40,25,38,34,21
2021.07.30.00,6,8,14,9,20,11,10,11,14,6,22,14,20,16,15,19,20,17,26,34,36,33,24,39,24
2021.07.29.00,5,11,7,10,17,10,12,17,8,8,23,18,28,12,26,12,20,6,32,36,61,37,32,27,18
2021.07.28.00,6,9,14,9,25,12,21,16,12,8,17,29,23,23,21,20,21,19,27,35,55,19,39,34,27
2021.07.27.00,2,5,13,13,8,7,12,13,5,10,7,19,11,18,10,21,11,15,16,30,31,8,19,18,16
2021.07.26.00,4,7,7,14,12,8,6,11,12,3,11,13,11,12,9,18,21,11,22,15,30,13,24,13,20
2021.07.25.00,10,7,12,6,14,7,18,17,12,8,11,23,19,32,3,16,27,10,27,33,52,26,32,22,22
2021.07.24.00,4,9,15,16,18,8,25,8,17,13,12,14,20,21,12,8,20,13,13,30,40,21,32,34,18
2021.07.23.00,7,11,19,17,19,12,18,16,15,6,13,26,17,24,9,28,26,16,18,30,32,32,39,24,25
2021.07.22.00,11,6,15,22,9,18,14,7,10,18,22,19,10,15,11,17,21,11,15,26,60,28,34,27,27
2021.07.21.00,10,6,27,17,23,10,14,27,11,14,20,30,30,27,22,19,27,13,23,43,61,33,37,26,15
2021.07.20.00,5,5,9,11,15,6,13,21,6,13,15,16,7,15,15,8,23,6,26,28,32,27,35,14,10
2021.07.19.00,8,7,13,12,8,13,17,19,8,13,16,14,8,24,5,17,19,7,27,20,32,24,32,22,23
2021.07.18.00,6,10,19,12,18,14,15,18,15,10,26,17,14,20,8,12,25,17,17,29,56,34,31,37,11
2021.07.17.00,9,6,20,16,6,14,26,19,22,12,20,15,11,27,17,31,24,13,19,19,62,35,50,27,13
2021.07.16.00,5,11,14,15,16,12,24,19,21,16,31,15,12,26,9,25,24,8,21,33,54,30,50,34,14
2021.07.15.00,9,9,15,20,20,10,19,12,20,15,27,16,8,27,15,21,15,10,26,20,54,21,46,32,10
2021.07.14.00,5,10,24,21,13,10,26,28,19,17,24,25,14,35,25,27,29,10,31,22,43,38,56,43,17
2021.07.13.00,13,5,13,19,13,12,11,15,6,7,22,20,4,20,14,19,13,11,19,15,29,10,46,30,13
2021.07.12.00,5,2,9,9,21,9,10,9,12,13,16,16,6,20,16,17,18,9,18,19,26,22,42,36,10
2021.07.11.00,4,3,14,32,15,27,9,15,6,20,18,14,11,25,15,16,14,11,21,24,27,26,61,36,19
2021.07.10.00,9,10,15,20,17,18,8,17,12,15,23,11,15,27,18,22,20,11,23,25,32,27,58,16,14
2021.07.09.00,3,6,17,22,24,22,12,22,13,24,13,22,10,20,13,20,19,12,17,23,23,29,44,26,25
2021.07.08.00,6,10,18,36,22,13,13,20,15,24,20,21,14,19,10,21,18,11,22,23,19,27,57,27,32
2021.07.07.00,11,8,26,24,27,16,5,21,4,12,17,25,15,23,22,33,21,7,39,15,31,32,67,32,20
2021.07.06.00,3,3,16,18,11,10,11,13,6,6,23,10,11,11,11,11,4,7,13,10,13,19,36,20,7
2021.07.05.00,8,8,19,6,13,16,9,8,4,6,18,7,8,14,13,13,5,7,15,9,18,19,34,19,4
2021.07.04.00,7,4,13,15,9,7,5,17,10,13,15,12,11,17,4,12,4,7,10,8,8,18,19,21,8
2021.07.03.00,6,6,24,9,5,12,9,14,5,15,20,16,7,22,9,18,4,4,20,8,19,16,53,22,9
2021.07.02.00,7,2,17,9,10,10,4,12,8,11,16,11,15,18,7,20,10,2,12,22,15,20,51,19,9
2021.07.01.00,2,2,13,14,10,13,11,10,14,7,10,8,5,21,9,15,4,3,10,12,13,20,57,21,17
