자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.05.31.10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0
2020.05.30.10,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0
2020.05.29.10,0,1,0,2,0,0,0,0,1,0,0,0,2,2,0,4,0,1,2,1,0,0,0,1,0
2020.05.28.10,0,0,0,3,1,0,0,0,1,0,0,2,1,1,1,3,3,0,1,1,1,0,0,1,1
2020.05.27.10,0,0,0,8,0,0,0,0,0,1,1,2,0,0,0,3,1,1,0,0,2,0,0,0,0
2020.05.26.10,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2020.05.25.10,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
2020.05.24.10,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020.05.23.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020.05.22.10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020.05.21.10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020.05.20.10,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2020.05.19.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0
2020.05.18.10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.17.10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020.05.16.10,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0
2020.05.15.10,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
2020.05.14.10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2020.05.13.10,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
2020.05.12.10,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,1,1,1,0,0,0
2020.05.11.10,0,1,3,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,3,0,4,1,1
2020.05.10.10,0,0,4,0,2,0,1,2,0,1,0,0,1,0,0,2,0,0,0,1,1,1,1,1,0
2020.05.09.10,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
2020.05.08.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.07.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.06.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.05.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.04.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.03.10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.05.02.10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.01.10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
