자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.08.31.00,0,1,0,1,2,2,2,4,4,7,7,3,1,1,1,4,1,2,0,13,5,0,2,1,2
2020.08.30.00,4,2,0,2,6,6,7,7,3,2,18,9,5,3,9,6,6,2,13,15,8,3,4,12,1
2020.08.29.00,0,3,1,0,5,2,4,6,4,6,7,1,5,2,3,4,2,3,5,12,10,6,4,14,2
2020.08.28.00,3,2,4,0,4,2,4,7,7,4,17,9,2,12,3,4,7,1,7,8,14,3,4,16,7
2020.08.27.00,2,1,3,0,1,0,4,8,0,2,18,4,4,2,2,10,8,3,0,6,7,2,2,8,2
2020.08.26.00,4,1,2,5,7,4,5,5,5,1,6,9,6,8,8,12,3,7,14,3,9,5,7,6,5
2020.08.25.00,1,0,3,2,6,3,13,10,2,6,17,6,4,2,6,2,2,2,4,1,8,5,5,8,10
2020.08.24.00,2,3,5,2,1,4,8,8,2,0,3,6,2,3,9,6,4,3,3,1,3,1,5,5,4
2020.08.23.00,1,1,4,1,2,4,5,15,4,3,14,11,1,4,4,7,2,1,6,9,5,7,7,5,12
2020.08.22.00,2,2,2,3,7,6,2,8,6,1,4,8,6,8,6,7,8,2,1,4,4,4,5,12,3
2020.08.21.00,3,4,2,4,3,6,7,9,2,6,6,10,0,2,2,14,5,2,1,2,3,6,5,12,4
2020.08.20.00,4,0,0,0,2,5,3,18,9,2,9,11,4,2,2,4,2,0,2,5,3,3,5,14,15
2020.08.19.00,4,1,4,2,3,6,9,20,8,4,9,6,3,8,4,2,6,1,3,4,6,6,6,11,8
2020.08.18.00,0,1,0,0,4,6,9,22,8,3,10,5,1,3,3,2,2,1,1,11,2,1,2,10,5
2020.08.17.00,2,1,3,1,3,3,5,18,3,3,15,2,0,4,1,6,0,0,0,1,0,0,1,8,5
2020.08.16.00,0,0,4,1,7,6,8,39,9,9,14,5,1,0,2,7,0,3,1,1,6,2,3,7,2
2020.08.15.00,0,1,1,1,0,3,1,15,0,1,4,1,3,6,1,2,0,0,2,2,2,8,5,6,5
2020.08.14.00,0,1,0,0,7,2,1,8,1,1,0,2,1,0,1,2,0,0,0,2,1,4,0,0,0
2020.08.13.00,1,2,1,1,2,0,0,2,0,0,1,4,0,0,2,3,0,0,0,0,1,2,0,0,0
2020.08.12.00,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,2,1,1,1,0,0
2020.08.11.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0
2020.08.10.00,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,1,0
2020.08.09.00,1,0,0,0,1,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2020.08.08.00,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,1,0,2,3,0,0
2020.08.07.00,0,0,2,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2020.08.06.00,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020.08.05.00,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0
2020.08.04.00,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0
2020.08.03.00,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020.08.02.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2020.08.01.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020.07.31.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,1,1
2020.07.30.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020.07.29.00,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
2020.07.28.00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2020.07.27.00,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
2020.07.26.00,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0
2020.07.25.00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,1,0,0,0,3,0
2020.07.24.00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,11,0
2020.07.23.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,0
2020.07.22.00,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,5,0
2020.07.21.00,1,1,0,2,1,0,0,1,0,0,0,1,1,0,0,10,0,1,0,0,0,0,0,1,1
2020.07.20.00,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020.07.19.00,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,3,0
2020.07.18.00,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0
2020.07.17.00,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0
2020.07.16.00,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1
2020.07.15.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1
2020.07.14.00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0
2020.07.13.00,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,3
2020.07.12.00,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2
2020.07.11.00,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2020.07.10.00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1
2020.07.09.00,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2020.07.08.00,0,0,0,0,1,0,1,0,0,0,2,0,1,4,0,0,0,0,0,1,1,0,0,0,0
2020.07.07.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020.07.06.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2020.07.05.00,0,1,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,2,2,1,1,1,0
2020.07.04.00,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
2020.07.03.00,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1
2020.07.02.00,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2
2020.07.01.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,4,1,0,0,0
2020.06.30.00,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0
2020.06.29.00,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
2020.06.28.00,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,5,0,1,1,0
2020.06.27.00,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,7,1,0,0,0
2020.06.26.00,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,11,0,0,0,0
2020.06.25.00,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0
2020.06.24.00,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0
2020.06.23.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
2020.06.22.00,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0
2020.06.21.00,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,1,1,1,0,0,0
2020.06.20.00,0,0,0,0,0,1,1,0,0,2,0,1,1,1,2,1,0,0,2,1,0,1,0,0,0
2020.06.19.00,0,1,0,0,1,0,1,1,1,2,0,1,1,1,2,2,0,0,1,0,1,1,0,0,0
2020.06.18.00,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,2,1,0,3,0,2,1,1,0,0
2020.06.17.00,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,2,2,1,1,1,0
2020.06.16.00,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,4,0,0,1,0,0,0,0,0
2020.06.15.00,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
2020.06.14.00,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,2,0,2,1,0,0,0
2020.06.13.00,1,0,1,0,0,0,3,1,2,12,1,0,0,0,2,2,1,1,1,0,1,0,0,0,1
2020.06.12.00,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,3,1,3,5,0,5,1,0,0,1
2020.06.11.10,0,0,0,0,1,0,0,1,0,1,1,1,0,0,3,0,2,4,0,1,1,1,0,1,0
2020.06.10.10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,2,2,0,0,0,0
2020.06.09.10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,9,0,0,1,1,1,0,0,0
2020.06.08.10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,2,3,0,0,0,0,0,0,0,1
2020.06.07.10,0,0,2,3,0,0,0,0,1,0,0,2,0,1,9,2,3,0,1,1,1,0,0,0,0
2020.06.06.10,0,0,2,1,0,1,1,0,1,1,2,2,0,0,4,1,4,0,1,0,3,0,0,1,2
2020.06.05.10,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,2,2,0,0,0,0,0,0,0,2
2020.06.04.10,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,1,2,1,0,1,0,2,0,0
2020.06.03.10,0,0,0,1,0,0,0,0,2,0,0,0,2,0,5,3,2,1,0,0,0,0,1,0,1
2020.06.02.10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,0,1,2,0,1,1
2020.06.01.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
