자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2020.12.31.00,13,3,1,7,17,11,20,14,7,7,15,9,11,11,24,12,15,11,10,15,27,9,9,17,7
2020.12.30.00,4,6,9,8,13,12,28,21,13,8,17,17,7,5,18,16,13,14,9,18,25,17,15,20,6
2020.12.29.00,10,5,2,2,4,6,36,14,10,7,15,10,5,9,14,11,9,4,7,12,26,13,10,17,3
2020.12.28.00,7,6,6,13,8,9,25,10,10,7,17,17,4,10,17,8,8,10,5,10,7,11,20,17,14
2020.12.27.00,12,7,5,9,5,12,16,12,6,12,8,9,2,15,18,22,20,10,5,6,22,11,16,23,5
2020.12.26.00,7,3,8,4,5,16,22,11,8,22,16,31,6,11,33,34,40,12,19,12,16,11,10,25,13
2020.12.25.00,9,5,14,3,13,8,8,14,7,5,8,18,7,21,15,20,4,4,7,19,16,7,9,14,8
2020.12.24.00,9,4,9,6,13,12,14,10,9,11,11,14,9,24,12,34,16,6,13,14,17,7,7,26,5
2020.12.23.00,14,5,6,9,18,10,14,15,8,3,18,24,9,29,23,22,6,9,18,11,18,8,13,22,7
2020.12.22.00,15,11,9,6,9,10,19,17,7,11,32,9,13,13,9,18,17,6,13,8,15,10,12,7,4
2020.12.21.00,29,8,8,9,5,12,18,12,8,7,8,12,13,12,12,16,18,13,15,14,17,21,15,13,5
2020.12.20.00,20,5,3,7,4,10,11,8,11,7,9,17,10,16,8,30,17,2,13,7,12,6,18,4,7
2020.12.19.00,33,8,7,6,14,20,21,14,4,7,11,18,6,10,8,29,13,7,23,12,13,12,12,21,12
2020.12.18.00,16,7,1,6,13,32,18,20,16,2,16,15,15,14,11,28,22,5,29,4,16,15,14,29,17
2020.12.17.00,9,9,10,21,7,14,14,9,17,7,8,5,11,31,18,24,15,9,36,23,16,14,16,24,20
2020.12.16.00,10,11,4,15,12,15,12,16,14,13,12,20,10,19,15,23,11,11,26,13,9,11,14,21,18
2020.12.15.00,2,7,2,5,8,7,4,8,12,7,7,14,10,8,6,31,9,4,7,18,16,5,18,13,9
2020.12.14.00,3,4,4,8,12,6,8,11,7,8,9,7,3,9,8,33,2,8,0,4,13,5,12,8,21
2020.12.13.00,7,2,10,14,9,14,21,17,4,13,3,14,14,16,17,44,8,10,12,19,21,13,14,28,18
2020.12.12.00,4,6,2,12,8,6,13,16,10,11,6,13,8,13,14,81,8,8,14,22,12,15,24,11,12
2020.12.11.00,2,4,8,9,6,9,16,7,3,4,5,11,7,8,16,29,9,3,12,19,15,11,15,8,12
2020.12.10.00,3,5,6,6,8,11,10,6,8,5,12,12,9,12,6,12,6,5,18,11,13,9,21,12,9
2020.12.09.00,3,7,5,1,6,12,19,5,5,8,7,15,10,9,14,24,12,1,6,13,19,9,16,10,12
2020.12.08.00,4,6,7,6,7,3,21,5,4,3,8,11,4,11,10,21,11,3,4,12,18,11,10,2,11
2020.12.07.00,4,5,8,0,12,7,14,4,8,6,9,13,8,8,9,11,6,4,5,17,14,14,13,16,5
2020.12.06.00,4,4,7,7,10,8,9,9,3,14,7,5,3,3,11,16,6,3,16,32,8,11,11,12,10
2020.12.05.00,5,9,8,7,5,4,8,11,3,3,7,22,3,15,9,23,4,5,6,8,9,14,12,11,8
2020.12.04.00,4,8,4,7,6,8,20,8,5,8,7,14,10,23,8,25,11,8,11,3,16,17,11,26,3
2020.12.03.00,3,0,8,8,8,9,21,13,2,3,8,10,9,5,9,18,2,0,9,14,10,13,13,23,8
2020.12.02.00,2,3,8,2,7,9,8,3,2,10,11,8,9,6,9,7,3,0,8,12,7,18,16,14,9
2020.12.01.00,0,1,3,2,5,1,3,7,4,7,7,3,3,6,10,15,5,2,14,4,7,11,12,7,5
