자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.04.30.00,3,0,6,5,6,7,7,6,7,7,6,18,5,4,10,5,7,0,9,14,22,12,22,16,8
2021.04.29.00,3,5,8,11,10,24,14,6,6,7,10,10,1,9,6,6,6,4,7,5,9,7,19,15,8
2021.04.28.00,2,2,5,6,10,14,19,6,3,12,12,12,4,10,4,8,4,7,9,15,14,10,28,16,13
2021.04.27.00,1,1,2,3,5,9,6,1,0,5,3,7,0,4,3,6,2,0,3,5,5,3,15,9,13
2021.04.26.00,3,1,5,8,8,5,10,1,4,10,6,7,3,3,4,3,3,3,8,5,8,7,12,17,5
2021.04.25.00,2,3,4,8,7,7,6,4,7,6,10,6,3,6,7,9,6,6,4,11,8,8,11,10,9
2021.04.24.00,2,7,4,9,19,13,13,3,3,2,13,9,5,10,8,16,4,0,8,11,5,18,21,14,20
2021.04.23.00,4,1,3,12,16,7,14,8,13,7,9,6,1,2,7,9,1,4,11,3,10,9,14,11,12
2021.04.22.00,4,3,2,8,8,14,11,6,12,20,13,7,4,6,6,5,3,7,10,5,14,11,18,14,6
2021.04.21.00,4,8,4,8,8,16,12,6,9,7,9,11,6,9,8,4,7,3,6,8,8,10,11,20,9
2021.04.20.00,2,2,1,4,7,10,8,9,7,6,6,15,3,4,6,4,4,1,2,1,9,10,10,7,4
2021.04.19.00,1,0,4,4,8,7,10,6,4,4,6,7,3,4,6,5,2,2,2,11,6,14,7,10,2
2021.04.18.00,3,5,3,8,9,6,7,11,5,0,8,10,5,6,9,12,6,4,6,12,11,9,15,10,14
2021.04.17.00,0,5,3,9,10,6,11,5,5,3,6,11,1,7,3,8,7,4,8,10,10,9,27,12,16
2021.04.16.00,0,1,3,7,6,8,5,8,3,8,14,20,7,7,4,5,10,9,11,9,9,12,20,16,9
2021.04.15.00,1,1,2,5,11,5,21,9,2,2,11,9,8,7,5,11,6,4,14,1,12,12,21,19,8
2021.04.14.00,2,3,4,5,11,13,17,5,7,7,8,14,6,8,5,6,3,5,7,8,22,14,18,28,12
2021.04.13.00,4,1,3,7,16,3,3,7,4,10,5,7,4,2,8,5,2,1,6,13,8,11,11,4,7
2021.04.12.00,0,2,3,5,17,5,8,10,1,9,9,9,0,4,5,3,1,1,6,9,8,14,8,10,7
2021.04.11.00,3,0,7,0,3,14,16,14,0,4,6,9,4,7,20,12,4,3,4,16,6,21,12,13,3
2021.04.10.00,2,4,4,4,7,11,13,9,1,13,6,13,5,7,8,6,3,3,7,12,7,9,16,9,12
2021.04.09.00,0,4,4,9,4,14,20,11,1,4,14,16,3,4,3,13,6,2,8,8,10,14,8,13,3
