대분류,시도,중분류,시군구,소분류,읍면동
11,서울특별시,11010,종로구,1101053,사직동
11,서울특별시,11010,종로구,1101054,삼청동
11,서울특별시,11010,종로구,1101055,부암동
11,서울특별시,11010,종로구,1101056,평창동
11,서울특별시,11010,종로구,1101057,무악동
11,서울특별시,11010,종로구,1101058,교남동
11,서울특별시,11010,종로구,1101060,가회동
11,서울특별시,11010,종로구,1101061,종로1.2.3.4가동
11,서울특별시,11010,종로구,1101063,종로5.6가동
11,서울특별시,11010,종로구,1101064,이화동
11,서울특별시,11010,종로구,1101067,창신1동
11,서울특별시,11010,종로구,1101068,창신2동
11,서울특별시,11010,종로구,1101069,창신3동
11,서울특별시,11010,종로구,1101070,숭인1동
11,서울특별시,11010,종로구,1101071,숭인2동
11,서울특별시,11010,종로구,1101072,청운효자동
11,서울특별시,11010,종로구,1101073,혜화동
11,서울특별시,11020,중구,1102052,소공동
11,서울특별시,11020,중구,1102054,회현동
11,서울특별시,11020,중구,1102055,명동
11,서울특별시,11020,중구,1102057,필동
11,서울특별시,11020,중구,1102058,장충동
11,서울특별시,11020,중구,1102059,광희동
11,서울특별시,11020,중구,1102060,을지로동
11,서울특별시,11020,중구,1102065,신당5동
11,서울특별시,11020,중구,1102067,황학동
11,서울특별시,11020,중구,1102068,중림동
11,서울특별시,11020,중구,1102069,신당동
11,서울특별시,11020,중구,1102070,다산동
11,서울특별시,11020,중구,1102071,약수동
11,서울특별시,11020,중구,1102072,청구동
11,서울특별시,11020,중구,1102073,동화동
11,서울특별시,11030,용산구,1103051,후암동
11,서울특별시,11030,용산구,1103052,용산2가동
11,서울특별시,11030,용산구,1103053,남영동
11,서울특별시,11030,용산구,1103057,원효로2동
11,서울특별시,11030,용산구,1103058,효창동
11,서울특별시,11030,용산구,1103059,용문동
11,서울특별시,11030,용산구,1103063,이촌1동
11,서울특별시,11030,용산구,1103064,이촌2동
11,서울특별시,11030,용산구,1103065,이태원1동
11,서울특별시,11030,용산구,1103066,이태원2동
11,서울특별시,11030,용산구,1103069,서빙고동
11,서울특별시,11030,용산구,1103070,보광동
11,서울특별시,11030,용산구,1103071,청파동
11,서울특별시,11030,용산구,1103072,원효로1동
11,서울특별시,11030,용산구,1103073,한강로동
11,서울특별시,11030,용산구,1103074,한남동
11,서울특별시,11040,성동구,1104052,왕십리2동
11,서울특별시,11040,성동구,1104054,마장동
11,서울특별시,11040,성동구,1104055,사근동
11,서울특별시,11040,성동구,1104056,행당1동
11,서울특별시,11040,성동구,1104057,행당2동
11,서울특별시,11040,성동구,1104058,응봉동
11,서울특별시,11040,성동구,1104059,금호1가동
11,서울특별시,11040,성동구,1104062,금호4가동
11,서울특별시,11040,성동구,1104065,성수1가1동
11,서울특별시,11040,성동구,1104066,성수1가2동
11,서울특별시,11040,성동구,1104067,성수2가1동
11,서울특별시,11040,성동구,1104068,성수2가3동
11,서울특별시,11040,성동구,1104069,송정동
11,서울특별시,11040,성동구,1104070,용답동
11,서울특별시,11040,성동구,1104071,왕십리도선동
11,서울특별시,11040,성동구,1104072,금호2.3가동
11,서울특별시,11040,성동구,1104073,옥수동
11,서울특별시,11050,광진구,1105053,화양동
